=============================================================================================
Intra-Node Communication

Performance for Process Count: 2
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 0.000737365494623656		Ring Algorithm: 0.000772217494623656
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 0.0014485919892473118		Ring Algorithm: 0.001483443989247312

Performance for Process Count: 16
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 2.919470168207747e-06		Ring Algorithm: 1.0892292707541812e-05
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 2.939732140294016e-06		Ring Algorithm: 1.091255467962808e-05
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 2.9802560844665542e-06		Ring Algorithm: 1.095307862380062e-05
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 3.06130397281163e-06		Ring Algorithm: 1.1034126512145694e-05
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 3.223399749501783e-06		Ring Algorithm: 1.1196222288835848e-05
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 3.547591302882088e-06		Ring Algorithm: 1.1520413842216152e-05
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 4.195974409642698e-06		Ring Algorithm: 1.2168796948976763e-05
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 5.492740623163918e-06		Ring Algorithm: 1.3465563162497983e-05
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 8.086273050206357e-06		Ring Algorithm: 1.6059095589540423e-05
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 1.3273337904291238e-05		Ring Algorithm: 2.1246160443625304e-05
For message size: 2^10 	Recursive Doubling and Brucks Algorithm: 2.3647467612461e-05		Ring Algorithm: 3.162029015179506e-05
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 4.080534677419354e-05		Ring Algorithm: 0.0001366483467741935
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 4.6758693548387085e-05		Ring Algorithm: 0.00014260169354838705
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 5.8665387096774185e-05		Ring Algorithm: 0.00015450838709677416
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 8.247877419354839e-05		Ring Algorithm: 0.00017832177419354836
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 0.00013010554838709676		Ring Algorithm: 0.00022594854838709673
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 0.00022535909677419354		Ring Algorithm: 0.0003212020967741935
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 0.0004158661935483871		Ring Algorithm: 0.0005117091935483871
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 0.0007968803870967743		Ring Algorithm: 0.0008927233870967741
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 0.0015589087741935484		Ring Algorithm: 0.0016547517741935483
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 0.003082965548387097		Ring Algorithm: 0.003178808548387097

Performance for Process Count: 32
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 3.66588498746347e-06		Ring Algorithm: 2.2510738262253078e-05
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 3.707759729775093e-06		Ring Algorithm: 2.2552613004564698e-05
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 3.791509214398338e-06		Ring Algorithm: 2.2636362489187946e-05
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 3.9590081836448295e-06		Ring Algorithm: 2.2803861458434435e-05
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 4.294006122137811e-06		Ring Algorithm: 2.313885939692742e-05
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 4.964001999123775e-06		Ring Algorithm: 2.380885527391338e-05
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 6.303993753095703e-06		Ring Algorithm: 2.5148847027885308e-05
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 8.983977261039557e-06		Ring Algorithm: 2.7828830535829162e-05
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 1.4343944276927267e-05		Ring Algorithm: 3.318879755171687e-05
